reviewed_at,paper_id,set,decision,old_verdict,new_verdict,new_pdf_source,notes,doi,pmid,title
2026-08-12T00:14:19+00:00,XQ95HYJB,testing,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\formative-2022-6-e33929 (1).pdf,,10.2196/33929,35731565,A Web-Based mHealth Intervention With Telephone Support to Increase Physical Activity Among Pregnant Patients With Overweight or Obesity: Feasibility  Randomized Controlled Trial.
2026-08-12T00:18:28+00:00,2NUR4ISP,testing,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\resprot-2021-6-e24115.pdf,,10.2196/24115,34128819,Adaptation of the World Health Organization Electronic Mental Health Gap Action Programme Intervention Guide App for Mobile Devices in Nepal and Nigeria:  Protocol for a Feasibility Cluster Randomized Controlled Trial.
2026-08-12T00:20:32+00:00,3NJJIQJQ,validation,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\resprot-2021-12-e34502.pdf,,10.2196/34502,34967755,Evaluation of the Efficacy of a Smoking Cessation Intervention for Cervical Cancer Survivors and Women With High-Grade Cervical Dysplasia: Protocol for a Randomized Controlled Trial
2026-08-12T00:21:31+00:00,4347I8U7,testing,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\resprot-2022-5-e34990.pdf,,10.2196/34990,35536637,A Scalable Service to Improve Health Care Quality Through Precision Audit and Feedback: Proposal for a Randomized Controlled Trial.
2026-08-12T00:22:33+00:00,5ZYEYEFF,testing,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\resprot-2021-2-e26192.pdf,,10.2196/26192,33528378,"Mobile Health-Supported HIV Self-Testing Strategy Among Urban Refugee and Displaced Youth in Kampala, Uganda: Protocol for a Cluster Randomized Trial  (Tushirikiane, Supporting Each Other)."
2026-08-12T00:23:47+00:00,62ZSZPVQ,testing,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\resprot-2022-5-e37002.pdf,,10.2196/37002,35576573,Evaluation of a Circadian Rhythm and Sleep-Focused Mobile Health Intervention for the Prevention of Accelerated Summer Weight Gain Among Elementary School-Age  Children: Protocol for a Randomized Controlled Feasibility Study.
2026-08-12T00:24:27+00:00,8YD6VXVA,testing,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\resprot-2019-10-e15314.pdf,,10.2196/15314,31584004,Integrated Care Delivery for HIV Prevention and Treatment in Adolescent Girls and Young Women in Zambia: Protocol for a Cluster-Randomized Controlled Trial.
2026-08-12T00:25:34+00:00,CLPMXINX,testing,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\resprot-2023-1-e46187.pdf,,10.2196/46187,37079365,Enhancing the Cardiovascular Safety of Hemodialysis Care Using Multimodal Provider Education and Patient Activation Interventions: Protocol for a Cluster  Randomized Controlled Trial.
2026-08-12T00:26:01+00:00,DB7RLSI3,testing,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\resprot-2023-1-e44219.pdf,,10.2196/44219,36947125,Strengthening Addiction Care Continuum Through Community Consortium in Vietnam: Protocol for a Cluster-Randomized Controlled Trial.
2026-08-12T00:27:25+00:00,DBT2TU6U,testing,replaced,VERIFIED,VERIFIED,C:\Users\charl\Downloads\publichealth-2022-9-e30372.pdf,,10.2196/30372,36121686,Effectiveness of Cash Transfer Delivered Along With Combination HIV Prevention Interventions in Reducing the Risky Sexual Behavior of Adolescent Girls and Young  Women in Tanzania: Cluster Randomized Controlled Trial.
